Planet Name "Semimajor Axis (km)" "Period (days)" Eccentricity "Inclination (deg)" "Mean Diameter (km)" "Mass (kg)"
saturn Phoebe 1.2948e+07 548.02 0.1635 175.243 213 8.29e+18
saturn Iapetus 3.56085e+06 79.33 0.0293 8.313 1471 1.81e+21
earth Moon 384399 27.3217 0.0549 5.145 3474.8 7.346e+22
saturn Hyperion 1.50093e+06 21.28 0.0232 0.615 266 5.58e+18
jupiter Callisto 1.883e+06 16.689 0.007 0.281 9637.6 4.82e+22
saturn Titan 1.22186e+06 15.95 0.0288 0.312 5151 1.35e+23
uranus Oberon 583449 13.463 0.0014 0.1478 1522 4.66e+20
uranus Titania 436282 8.796 0.00123 0.1129 1578 3.66e+20
jupiter Ganymede 1.07e+06 7.15455 0.0015 0.195 10536.4 4.81e+22
saturn Rhea 527070 4.518 0.001 0.36 1529 2.31e+21
uranus Umbriel 265982 4.144 0.00394 0.0796 1170 2.66e+20
jupiter Europa 670900 3.55181 0.0101 0.47 6242.8 4.8e+22
saturn Dione 377400 2.737 0.0022 0.028 1123 1.1e+21
uranus Ariel 190930 2.52 0.00122 0.0167 1159 1.66e+20
saturn Tethys 294672 1.888 0.0001 1.091 1066 6.17e+20
jupiter Io 421800 1.769 0.004 0.04 7272.4 8.93e+22
uranus Miranda 129858 1.413 0.00135 4.4072 474 6.59e+19
saturn Enceladus 238037 1.37 0.0047 0.009 504 1.08e+20
saturn Pallene 212283 1.154 0.004 0.18 4.4 1.15e+16
saturn Methone 194230 1.01 0.01 0.01 2.8 3.92e+15
saturn Mimas 185537 0.942 0.0196 1.565 396 3.75e+19
saturn Janus 151452 0.695 0.0068 0.164 178 1.9e+18
saturn Epimetheus 151452 0.695 0.0097 0.352 116.2 5.27e+17
saturn Pandora 141713 0.629 0.0042 0.05 81.4 1.37e+17
saturn Prometheus 139378 0.613 0.0022 0.007 84.2 1.59e+17
saturn Atlas 137666 0.602 0.0012 0.003 30.2 6.6e+15
saturn Daphnis 136504 0.594 3e-05 0.0036 7.6 7.7e+13
saturn Pan 133584 0.575 1e-05 0.0001 28 4.95e+15
